Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://headon.pro/,"Kreativ- & Digitalagentur für Web, Apps & Design | Ab 2.500€",94,0.023114003393130796,n/a,0,200,0.218,0,1,1,1,0,Self-canonical,0,107,32,1,0,-,-,18,0,20,"website erstellen lassen im main-tauber-kreis. webdesign & app-entwicklung zu festpreisen ab 2.500€. ki-gestützt, 4x schneller. professionelle digitalagentur.",
https://headon.pro/about,Über uns - HEADON Digitalagentur aus Lauda-Königshofen,87,0.023006602845156515,n/a,1,200,0.202,0,1,1,1,0,Self-canonical,1,106,26,0,0,-,-,20,0,21,"moderne digitalagentur für web, mobile & ki-integration. technologie-agnostisch mit next.js, react, vue, flutter und mehr. regional verwurzelt in lauda-königshofen.",
https://headon.pro/blog,"Blog - Web Development, Design & Innovation | HEADON",96,0.023166896882958105,n/a,1,200,0.357,0,1,1,1,0,Self-canonical,1,106,38,0,0,-,-,19,0,20,"headon blog: insights, trends und best practices zu web development, ui/ux design, mobile apps und digitaler innovation. expertenwissen für digitalexperten.",
https://headon.pro/blog/app-performance-best-practices,,-,0.004238156100196843,n/a,2,308,0.109,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,
https://headon.pro/blog/caching-strategien-web-apps,"Caching-Strategien: Redis, CDN & Browser-Cache | HEADON Blog",43,0.0046057743499199185,n/a,2,200,0.235,0,1,1,1,0,Self-canonical,1,5,30,3,0,-,-,21,0,26,"praktischer guide zu caching: browser cache, cdn, redis, service workers und next.js caching für dramatisch schnellere web-anwendungen.",
https://headon.pro/blog/cms-vergleich-2025,,-,0.0038756222685508773,n/a,3,308,0.112,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,
https://headon.pro/blog/core-web-vitals-optimierung,Core Web Vitals optimieren: Guide für bessere Rankings | HEADON Blog,75,0.008337188814463391,n/a,2,200,0.351,0,1,1,1,0,Self-canonical,1,5,31,6,0,-,-,21,0,27,"core web vitals sind google-rankingfaktor! erfahren sie, wie sie lcp, fid und cls optimieren und ihre website-performance messbar verbessern – für mehr traffic und conversions.",
https://headon.pro/blog/design-systems-skalierbar,Design Systems mit React & Tailwind CSS | HEADON Blog,16,0.004239850250360736,n/a,2,200,0.25,0,1,1,1,0,Self-canonical,1,2,30,3,0,-,-,21,0,27,"kompletter guide zum aufbau eines design systems: komponenten-bibliothek, tailwind css, shadcn/ui und best practices für enterprise-apps.",
https://headon.pro/blog/dsgvo-konforme-website-checkliste,DSGVO-konforme Webseite 2025: Checkliste | HEADON Blog,27,0.0043075354714542215,n/a,2,200,0.248,0,1,1,1,0,Self-canonical,1,3,29,16,0,-,-,21,0,28,"dsgvo-konforme webseite: 15-punkte-checkliste für rechtssichere webseiten, cookie-banner best practices, datenschutz-anforderungen und häufige fehler vermeiden.",
https://headon.pro/blog/e-commerce-website-aufbauen,E-Commerce Website aufbauen: Online-Shop Guide 2025 | HEADON Blog,15,0.004204720008446397,n/a,2,200,0.25,0,1,1,1,0,Self-canonical,1,2,31,3,0,-,-,21,0,26,"erfolgreichen online-shop erstellen: plattform-wahl, payment-integration, ux-optimierung, conversion-strategien und marketing für mehr online-umsatz.",
https://headon.pro/blog/google-business-profile-optimieren,,-,0.004152322876467515,n/a,3,308,0.111,0,0,0,0,0,-,0,3,1,0,0,-,-,0,0,0,-,
https://headon.pro/blog/handwerker-website-erfolgreich,Handwerker-Website: Guide für mehr Aufträge | HEADON Blog,56,0.004759339338789299,n/a,2,200,0.243,0,1,1,1,0,Self-canonical,1,4,31,3,0,-,-,21,0,27,"erfolgreiche handwerker-website erstellen: projektgalerie, online-anfragen, local seo, google my business und lead-generierung für handwerksbetriebe.",
https://headon.pro/blog/headless-cms-vorteile,,-,0.0038756222685508773,n/a,3,308,0.109,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,
https://headon.pro/blog/local-seo-guide-kleine-unternehmen,Local SEO Guide: Bei Google lokal ranken | HEADON Blog,86,0.013370363350176155,n/a,2,200,0.142,0,1,1,1,0,Self-canonical,1,8,32,3,0,-,-,21,0,27,"local seo strategien für kmu: google business profile optimieren, lokale keywords, citations aufbauen, bewertungen sammeln und in google maps erscheinen.",
https://headon.pro/blog/mobile-first-design,Mobile-First Design: Best Practices für 2025 | HEADON Blog,78,0.009018121107038212,n/a,2,200,0.239,0,1,1,1,0,Self-canonical,1,7,30,3,0,-,-,21,0,26,"moderne mobile-first strategie: responsive design, touch interfaces, performance-optimierung und progressive enhancement für mobile web-apps.",
https://headon.pro/blog/mobile-first-design-strategie,,-,0.0038862682443684283,n/a,3,308,0.111,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,
https://headon.pro/blog/next-js-15-neue-features,Next.js 15: Die wichtigsten neuen Features | HEADON Blog,59,0.0051235763250562505,n/a,2,200,0.23,0,1,1,1,0,Self-canonical,1,11,30,7,0,-,-,21,0,26,"entdecken sie die revolutionären features von next.js 15: partial prerendering, server actions und verbesserte performance für enterprise-anwendungen.",
https://headon.pro/blog/next-js-image-optimization,Next.js Image Optimization: WebP & AVIF | HEADON Blog,51,0.004648222264683494,n/a,2,200,0.158,0,1,1,1,0,Self-canonical,1,6,32,9,0,-,-,21,0,26,"kompletter guide zur next.js image-komponente: automatische optimierung, moderne formate (webp/avif), lazy loading und best practices für perfekte performance.",
https://headon.pro/blog/next-js-performance-optimization,Next.js Performance: 15 Best Practices 2025 | HEADON Blog,80,0.009043732506720244,n/a,2,200,0.238,0,1,1,1,0,Self-canonical,1,9,32,8,0,-,-,21,0,27,"steigern sie ihren lighthouse-score auf 90+: code-splitting, image optimization, caching und moderne performance-patterns für next.js anwendungen.",
https://headon.pro/blog/next-js-vs-wordpress-vergleich,Next.js vs WordPress: CMS-Vergleich 2025 | HEADON Blog,5,0.004139354932348575,n/a,2,200,0.148,0,1,1,1,0,Self-canonical,1,1,33,3,0,-,-,21,0,29,"next.js vs wordpress im detail: performance, seo, kosten, wartung und sicherheit verglichen. welches system passt zu ihrem projekt? kompletter entscheidungsguide.",
https://headon.pro/blog/progressive-web-apps-guide,Progressive Web Apps (PWA): Guide 2025 | HEADON Blog,48,0.004634819870500925,n/a,2,200,0.233,0,1,1,1,0,Self-canonical,1,3,32,3,0,-,-,21,0,26,"pwa-entwicklung verstehen: was sind progressive web apps, vorteile, technische implementierung mit service workers, offline-funktionalität und app-ähnliche features.",
https://headon.pro/blog/react-19-concurrent-features,React 19 Concurrent Features richtig einsetzen | HEADON Blog,35,0.004456338065831735,n/a,2,200,0.235,0,1,1,1,0,Self-canonical,1,5,31,6,0,-,-,21,0,27,"ein praktischer guide zu react 19 concurrent features: use() hook, server components, transitions und automatisches batching für performante apps.",
https://headon.pro/blog/react-native-vs-native,,-,0.004238156100196843,n/a,2,308,0.111,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,
https://headon.pro/blog/restaurant-website-best-practices,Restaurant Website: Best Practices Guide 2025 | HEADON Blog,29,0.004336282981558333,n/a,2,200,0.248,0,1,1,1,0,Self-canonical,1,2,31,3,0,-,-,21,0,27,"erfolgreiche restaurant-website erstellen: online-reservierung, digitale speisekarte, mobile-optimierung, local seo und online-bestellung für mehr gäste.",
https://headon.pro/blog/seo-texte-schreiben-guide,,-,0.00401372194233953,n/a,3,308,0.11,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,0,-,
https://headon.pro/blog/ssr-vs-csr-complete-guide,SSR vs CSR: Rendering-Strategien im Vergleich | HEADON Blog,58,0.005014300591250397,n/a,2,200,0.245,0,1,1,1,0,Self-canonical,1,8,31,6,0,-,-,21,0,27,"server-side vs. client-side rendering verstehen: vor- und nachteile, use cases, performance-impact und wann sie welche strategie nutzen sollten.",
https://headon.pro/blog/web-accessibility-wcag,Web Accessibility: WCAG 2.2 Standards praktisch umsetzen | HEADON Blog,38,0.004495300674968828,n/a,2,200,0.232,0,1,1,1,0,Self-canonical,1,2,30,5,0,-,-,21,0,27,"kompletter wcag-guide: barrierefreie websites entwickeln, aria richtig nutzen, keyboard-navigation und screen-reader unterstützung implementieren.",
https://headon.pro/blog/web-projekt-planung,Web-Projekt erfolgreich planen: Von der Idee zum Launch | HEADON Blog,52,0.004678888945059063,n/a,2,200,0.232,0,1,1,1,0,Self-canonical,1,5,30,3,0,-,-,21,0,26,"kompletter projekt-planungs-guide: requirements, budget, timeline, team, tech-stack und best practices für erfolgreiche web-projekte.",
https://headon.pro/blog/website-erstellen-lassen-guide,Website erstellen lassen 2025: Kompletter Guide | HEADON Blog,30,0.004366883540867959,n/a,3,200,0.24,0,1,1,1,0,Self-canonical,1,6,32,5,0,-,-,21,0,27,"website erstellen lassen leicht gemacht: schritt-für-schritt-anleitung, agentur vs freelancer vs baukasten-vergleich, checkliste und tipps für ihr projekt.",
https://headon.pro/blog/website-kosten-2025,Website Kosten 2025: Der komplette Preisguide | HEADON Blog,41,0.004538003087345934,n/a,2,200,0.136,0,1,1,1,0,Self-canonical,1,7,32,5,0,-,-,21,0,27,"transparenter website-kosten-überblick 2025: preisspannen, versteckte kosten, kostenrechner und vergleich agentur vs. freelancer vs. baukasten für ihre website.",
https://headon.pro/blog/website-performance-optimieren,,-,0.003949567210413246,n/a,3,308,0.11,0,0,0,0,0,-,0,2,1,0,0,-,-,0,0,0,-,
https://headon.pro/blog/website-relaunch-guide,Website Relaunch 2025: Guide zum Neustart | HEADON Blog,28,0.004313212840904548,n/a,2,200,0.339,0,1,1,1,0,Self-canonical,1,3,32,7,0,-,-,21,0,27,"website relaunch meistern: 10 anzeichen für relaunch, schritt-für-schritt-prozess, seo-checkliste, häufige fehler und wie sie ranking-verluste vermeiden.",
https://headon.pro/blog/welche-agentur-webentwicklung-empfehlung,Die richtige Webentwicklung-Agentur finden [2025] | HEADON Blog,63,0.007808056871194232,n/a,3,200,0.352,0,1,1,1,0,Self-canonical,1,2,31,4,0,-,-,21,0,27,"welche agentur kannst du für die webentwicklung empfehlen? objektiver leitfaden zur agenturwahl mit 10-punkte-checkliste, kostenrechner und konkreten auswahlkriterien.",
https://headon.pro/branchen,Branchen-Lösungen | HEADON - Enterprise Web Development,92,0.02310148041851129,n/a,1,200,0.294,0,1,1,1,0,Self-canonical,1,106,32,0,0,-,-,23,0,24,"spezialisierte website-lösungen mit enterprise-architektur. next.js 15, typescript, performance-optimiert. für gastronomie, handwerk, einzelhandel, beratung, immobilien und fitness.",
https://headon.pro/branchen/beratung,"Website für Berater, Coaches und Dienstleister | HEADON",49,0.004646995332644408,n/a,1,200,0.123,0,1,1,1,0,Self-canonical,1,2,27,0,0,-,-,25,0,25,"positionieren sie sich als experte mit einer professionellen website, die vertrauen schafft und neukunden überzeugt.",
https://headon.pro/branchen/einzelhandel,E-Commerce Lösung für Ihren Online-Shop | HEADON,53,0.004710294298689226,n/a,1,200,0.132,0,1,1,1,0,Self-canonical,1,3,27,0,0,-,-,25,0,25,"verkaufen sie ihre produkte online mit einem modernen shop-system, das kunden begeistert und ihren umsatz steigert.",
https://headon.pro/branchen/fitness,Website für Fitnessstudios und Wellnesscenter | HEADON,49,0.004646995332644408,n/a,1,200,0.226,0,1,1,1,0,Self-canonical,1,2,27,0,0,-,-,25,0,25,"gewinnen sie neue mitglieder mit einer modernen website, die ihre angebote perfekt präsentiert und buchungen vereinfacht.",
https://headon.pro/branchen/gastronomie,Professionelle Website für Ihr Restaurant oder Café | HEADON,54,0.00471236040874223,n/a,1,200,0.208,0,1,1,1,0,Self-canonical,1,3,27,0,0,-,-,25,0,25,"steigern sie ihre reservierungen und online-bestellungen mit einer modernen website, die ihre gäste begeistert und ihre speisekarte perfekt präsentiert.",
https://headon.pro/branchen/handwerk,"Website für Handwerksbetriebe – Mehr Aufträge, weniger Aufwand | HEADON",57,0.004779609220852829,n/a,1,200,0.208,0,1,1,1,0,Self-canonical,1,4,27,0,0,-,-,25,0,25,präsentieren sie ihre leistungen professionell online und gewinnen sie neue kunden durch bessere sichtbarkeit in ihrer region.,
https://headon.pro/branchen/immobilien,Immobilien-Website für Makler und Verwalter | HEADON,49,0.004646995332644408,n/a,1,200,0.135,0,1,1,1,0,Self-canonical,1,2,27,0,0,-,-,25,0,25,"präsentieren sie ihre immobilien professionell online mit modernen exposés, virtuellen rundgängen und automatisierten anfragen.",
https://headon.pro/contact,Kontakt - Kostenloses Erstgespräch & Projektanfrage | HEADON,87,0.023006602845156515,n/a,1,200,0.497,0,1,1,1,0,Self-canonical,1,106,26,0,0,-,-,22,0,24,"kontaktieren sie headon für ihr digitales projekt. kostenlose erstberatung in 15 min, antwort in 2h. termin buchen oder anfragen. tel: +49 176 630 402 41",
https://headon.pro/downloads/agentur-auswahl-paket,,-,0.00392838425307334,n/a,4,308,0.109,0,0,0,0,0,-,0,1,1,0,0,-,-,0,0,1,-,
https://headon.pro/faq,Häufig gestellte Fragen (FAQ) | HEADON.pro,87,0.023006602845156515,n/a,1,200,0.112,0,1,1,1,0,Self-canonical,1,106,26,0,0,-,-,22,0,24,"antworten auf über 40 häufig gestellte fragen zu web-entwicklung, mobile apps, ui/ux design, backend-lösungen und preisen. schnelle hilfe für ihre fragen.",
https://headon.pro/glossar,Glossar - Web Development Fachbegriffe erklärt | HEADON,99,0.023299694836836724,n/a,1,200,0.113,0,1,1,1,0,Self-canonical,1,106,61,0,0,-,-,19,0,20,"verständliche erklärungen zu 30+ fachbegriffen aus webentwicklung, app-development, ui/ux design und digital marketing. von api bis typescript.",
https://headon.pro/glossar/agile,Agile Entwicklung - Glossar | HEADON.pro,71,0.008288701973344753,n/a,2,200,0.133,0,1,1,1,0,Self-canonical,1,4,29,0,0,-,-,19,0,21,was ist agile entwicklung? agile entwicklung ist ein iterativer ansatz mit kurzen entwicklungszyklen und kontinuierlichem feedback. ✓ umfassende erklärung ✓…,
https://headon.pro/glossar/api,API (Application Programming Interface) - Glossar |…,46,0.004624323182568845,n/a,2,200,0.12,0,1,1,1,0,Self-canonical,1,8,29,0,0,-,-,19,0,20,was ist api (application programming interface)? eine programmierschnittstelle ermöglicht die kommunikation zwischen verschiedenen softwareanwendungen. ✓…,
https://headon.pro/glossar/atomic-design,Atomic Design - Glossar | HEADON.pro,11,0.004188127542855297,n/a,2,200,0.128,0,1,1,1,0,Self-canonical,1,3,29,0,0,-,-,19,0,20,was ist atomic design? atomic design ist eine methodik zum aufbau von ui-systemen aus kleinsten bausteinen (atome) zu komplexen strukturen. ✓ umfassende…,
https://headon.pro/glossar/backend,Backend - Glossar | HEADON.pro,32,0.004408637578934686,n/a,2,200,0.124,0,1,1,1,0,Self-canonical,1,5,29,0,0,-,-,19,0,20,"was ist backend? das backend ist der serverseitige teil einer anwendung, der geschäftslogik, datenverarbeitung und datenspeicherung übernimmt. ✓ umfassende…",
https://headon.pro/glossar/component-library,Component Library - Glossar | HEADON.pro,11,0.004188127542855297,n/a,2,200,0.221,0,1,1,1,0,Self-canonical,1,3,29,0,0,-,-,19,0,20,was ist component library? eine component library ist eine sammlung wiederverwendbarer ui-komponenten für konsistente entwicklung. ✓ umfassende erklärung ✓…,
https://headon.pro/glossar/core-web-vitals,Core Web Vitals - Glossar | HEADON.pro,66,0.008080920549536729,n/a,2,200,0.126,0,1,1,1,0,Self-canonical,1,3,29,0,0,-,-,19,0,21,"was ist core web vitals? core web vitals sind google-metriken, die ladezeit, interaktivität und visuelle stabilität von websites messen. ✓ umfassende erklärung…",
https://headon.pro/glossar/cross-platform,Cross-Platform Development - Glossar | HEADON.pro,19,0.004259063480715112,n/a,2,200,0.122,0,1,1,1,0,Self-canonical,1,3,29,0,0,-,-,19,0,21,was ist cross-platform development? cross-platform development ermöglicht die entwicklung von apps für mehrere plattformen mit einer gemeinsamen codebase. ✓…,
https://headon.pro/glossar/css,CSS (Cascading Style Sheets) - Glossar | HEADON.pro,70,0.00822052448643447,n/a,2,200,0.123,0,1,1,1,0,Self-canonical,1,4,29,0,0,-,-,19,0,21,"was ist css (cascading style sheets)? css ist die style-sprache des webs für das visuelle design von websites (farben, layout, typografie). ✓ umfassende…",
https://headon.pro/glossar/datenbank,Datenbank - Glossar | HEADON.pro,67,0.008083133961996204,n/a,2,200,0.122,0,1,1,1,0,Self-canonical,1,4,29,0,0,-,-,19,0,20,"was ist datenbank? eine datenbank ist ein system zur strukturierten speicherung, verwaltung und abfrage von daten. ✓ umfassende erklärung ✓ vorteile ✓…",
